,AAPL,MSFT,NVDA
02/01/2015,24.34716797,40.15249634,0.483143479
05/01/2015,23.66127777,39.78325272,0.474983156
06/01/2015,23.66350174,39.19933701,0.460582405
07/01/2015,23.99531364,39.69737244,0.459382325
08/01/2015,24.91726685,40.86520004,0.476663262
09/01/2015,24.94399261,40.52171707,0.478583276
12/01/2015,24.32935143,40.01509476,0.472583026
13/01/2015,24.54536629,39.80900955,0.471862972
14/01/2015,24.45184135,39.4655304,0.473782986
15/01/2015,23.7882061,39.0533638,0.470422924
16/01/2015,23.60337067,39.70595932,0.479063302
20/01/2015,24.21132851,39.83476257,0.48050338
21/01/2015,24.39616585,39.4311676,0.487223744
22/01/2015,25.03083992,40.4702034,0.495624274
23/01/2015,25.16000366,40.51313782,0.497064084
26/01/2015,25.18672752,40.36715698,0.49490419
27/01/2015,24.30486298,36.63184738,0.471142858
28/01/2015,25.67888641,35.36955643,0.463462591
29/01/2015,26.47835732,36.07369232,0.474743068
30/01/2015,26.0908699,34.69118881,0.460822552
02/02/2015,26.41822433,35.44683838,0.47090292
03/02/2015,26.42268372,35.7216301,0.482663453
04/02/2015,26.62533188,35.92771149,0.483863562
05/02/2015,26.81537628,36.45151901,0.491783947
06/02/2015,26.58956146,36.41717529,0.489623874
09/02/2015,26.76618767,36.3742485,0.489143848
10/02/2015,27.28041077,36.58031464,0.502824664
11/02/2015,27.9198246,36.39140701,0.499464512
12/02/2015,28.27306747,37.00107956,0.535226107
13/02/2015,28.41168404,37.67086411,0.535466015
17/02/2015,28.57936478,37.68816757,0.537146091
18/02/2015,28.77834511,37.64491653,0.530905724
19/02/2015,28.71798325,37.61896515,0.53234607
20/02/2015,28.95273781,37.9303093,0.536186099
23/02/2015,29.73523712,38.18109512,0.531866014
24/02/2015,29.54967117,38.12919235,0.5375278
25/02/2015,28.79399109,38.04272842,0.533431828
26/02/2015,29.15842056,38.10326767,0.534877777
27/02/2015,28.72022057,37.92164612,0.531504571
02/03/2015,28.86106873,37.9475975,0.544514954
03/03/2015,28.92142868,37.42871094,0.534395635
04/03/2015,28.73810196,37.23846054,0.540418983
05/03/2015,28.2618885,37.28168869,0.550779462
06/03/2015,28.30437851,36.63311005,0.543310344
09/03/2015,28.42510033,37.0568428,0.544756114
10/03/2015,27.83709908,36.34770966,0.554152489
11/03/2015,27.32958221,36.30447388,0.551261246
12/03/2015,27.8236866,35.47425461,0.546201587
13/03/2015,27.63141441,35.78558731,0.546924472
16/03/2015,27.93546867,35.94125366,0.553429604
17/03/2015,28.40274429,36.06232834,0.560175896
18/03/2015,28.72244835,36.75417328,0.551020324
19/03/2015,28.50558281,36.57254791,0.55945313
20/03/2015,28.14787102,37.08279419,0.565476298
23/03/2015,28.44075394,37.06550217,0.547165215
24/03/2015,28.3244915,37.10009003,0.539696455
25/03/2015,27.58446121,35.85477066,0.50692898
26/03/2015,27.77673912,35.63856506,0.505242229
27/03/2015,27.55539322,35.43102646,0.515120804
30/03/2015,28.25295067,35.42235565,0.51728934
31/03/2015,27.81921959,35.16291809,0.50427866
01/04/2015,27.77897644,35.21481705,0.506206214
02/04/2015,28.01820374,34.84293747,0.507411063
06/04/2015,28.47204971,35.93261337,0.522108018
07/04/2015,28.17245865,35.91530991,0.526685774
08/04/2015,28.0807991,35.82017899,0.530540943
09/04/2015,28.29542542,35.87207413,0.542828441
10/04/2015,28.41615105,36.07961273,0.548369825
13/04/2015,28.36026573,36.11421967,0.543310344
14/04/2015,28.23730087,36.01908875,0.538732529
15/04/2015,28.34461403,36.54660034,0.54523766
16/04/2015,28.20822716,36.46012878,0.541864634
17/04/2015,27.89075851,35.9931488,0.534877777
20/04/2015,28.52793694,37.10873032,0.532227278
21/04/2015,28.37367439,36.87523651,0.531504571
22/04/2015,28.75599098,37.17792511,0.5375278
23/04/2015,28.99074173,37.48060226,0.535359442
24/04/2015,29.12712097,41.39816284,0.530781686
27/04/2015,29.65698814,41.53652573,0.534877777
28/04/2015,29.18972015,42.51376724,0.5375278
29/04/2015,28.76045799,42.42729568,0.533431828
30/04/2015,27.980196,42.06406021,0.534877777
01/05/2015,28.82976151,42.08135986,0.548129141
04/05/2015,28.7738781,41.71814346,0.544756114
05/05/2015,28.12551308,41.16465759,0.530781686
06/05/2015,27.94889259,40.02312469,0.532468259
07/05/2015,28.12176323,40.38634491,0.541864634
08/05/2015,28.65159798,41.29439163,0.501869261
11/05/2015,28.3597374,40.96575928,0.497050643
12/05/2015,28.25870895,40.94847107,0.501869261
13/05/2015,28.29014015,41.19061279,0.504760742
14/05/2015,28.95018959,42.133255,0.512952387
15/05/2015,28.90978432,41.77002716,0.513193369
18/05/2015,29.22857857,41.51922226,0.512470663
19/05/2015,29.20163918,41.41478729,0.509275377
20/05/2015,29.19939423,41.41478729,0.509275377
21/05/2015,29.49799728,41.27552032,0.505644619
22/05/2015,29.75617599,40.82288742,0.504918575
26/05/2015,29.10061264,40.55307007,0.501771867
27/05/2015,29.64391899,41.44090271,0.528639495
28/05/2015,29.58554268,41.30163574,0.53590101
29/05/2015,29.24878311,40.78806686,0.535659254
01/06/2015,29.30715752,41.11013794,0.541710198
02/06/2015,29.17693901,40.84030533,0.53106004
03/06/2015,29.21286201,40.7793808,0.525250852
04/06/2015,29.04224396,40.3528595,0.534691036
05/06/2015,28.88283539,40.16137695,0.538805723
08/06/2015,28.69200706,39.80449295,0.526461065
09/06/2015,28.60669708,39.7348671,0.529123724
10/06/2015,28.93447113,40.57047272,0.519683599
11/06/2015,28.86936951,40.42250824,0.525250852
12/06/2015,28.55057526,40.01340485,0.510969996
15/06/2015,28.49443817,39.5868988,0.510001838
16/06/2015,28.64710236,39.89155197,0.516295135
17/06/2015,28.57975578,40.01340485,0.522346139
18/06/2015,28.70997429,40.6662178,0.53106004
19/06/2015,28.42259789,40.12656403,0.529365778
22/06/2015,28.64934731,40.23971176,0.527187288
23/06/2015,28.51913643,39.96118546,0.513632298
24/06/2015,28.76160622,39.72616196,0.508549273
25/06/2015,28.62465286,39.7348671,0.512422144
26/06/2015,28.45627403,39.39539719,0.502013922
29/06/2015,27.95786858,38.62070847,0.487006754
30/06/2015,28.15992928,38.42923355,0.486764759
01/07/2015,28.42259789,38.69034958,0.493784308
02/07/2015,28.38667679,38.64683533,0.494268268
06/07/2015,28.28789711,38.638134,0.488217026
07/07/2015,28.21830177,38.55979156,0.479019105
08/07/2015,27.51783562,38.50756836,0.475630403
09/07/2015,26.95656586,38.75128555,0.469821125
10/07/2015,27.67723656,38.82963181,0.478050888
13/07/2015,28.2115593,39.63912201,0.481197596
14/07/2015,28.20033455,39.70874786,0.481439561
15/07/2015,28.47199249,39.83060837,0.478050888
16/07/2015,28.85140419,40.61399841,0.488701195
17/07/2015,29.10061264,40.57918167,0.485796571
20/07/2015,29.65065956,40.84030533,0.476840615
21/07/2015,29.35429764,41.15365219,0.479019105
22/07/2015,28.11277771,39.63912201,0.469821125
23/07/2015,28.09930801,40.13525391,0.475630403
24/07/2015,27.95113564,39.98729324,0.47006318
27/07/2015,27.56273651,39.47373581,0.46740067
28/07/2015,27.69968796,39.46504211,0.477566868
29/07/2015,27.61213303,40.2919426,0.483376056
30/07/2015,27.47293663,40.80550003,0.484586239
31/07/2015,27.2327137,40.64881516,0.482891977
03/08/2015,26.59061813,40.74456024,0.49112159
04/08/2015,25.73749542,41.37997055,0.493057966
05/08/2015,25.90812111,41.41478729,0.49814111
06/08/2015,25.96450424,40.57918167,0.494994521
07/08/2015,26.05244827,40.68362808,0.556233406
10/08/2015,26.99965477,41.19717789,0.575597465
11/08/2015,25.59464264,40.39639282,0.572692692
12/08/2015,25.9893055,40.68362808,0.574145138
